customer_id,email,segment,created_at,lifetime_value,risk_score
1,user1@example.com,new,2025-02-17,3524.43,0.109
2,user2@example.com,casual,2025-01-13,3751.06,0.065
3,user3@example.com,loyal,2024-07-14,3652.96,0.006
4,user4@example.com,loyal,2024-10-06,47.65,0.146
5,user5@example.com,new,2024-03-12,4661.91,0.033
6,user6@example.com,casual,2023-06-13,1304.79,0.02
7,user7@example.com,new,2024-12-28,3358.76,0.098
8,user8@example.com,loyal,2024-02-21,3005.81,0.084
9,user9@example.com,casual,2024-01-29,1814.35,0.219
10,user10@example.com,loyal,2024-11-13,3696.1,0.127
11,user11@example.com,new,2023-07-18,2591.13,0.075
12,user12@example.com,vip,2025-05-27,2896.83,0.086
13,user13@example.com,vip,2024-02-29,3413.82,0.047
14,user14@example.com,casual,2024-10-18,1554.32,0.057
15,user15@example.com,casual,2025-05-03,4464.19,0.072
16,user16@example.com,casual,2025-03-05,3882.51,0.26
17,user17@example.com,casual,2023-08-03,2423.25,0.199
18,user18@example.com,loyal,2024-10-24,578.02,0.117
19,user19@example.com,new,2023-06-09,853.62,0.049
20,user20@example.com,loyal,2024-11-27,2108.15,0.097
21,user21@example.com,loyal,2024-10-30,3463.0,0.223
22,user22@example.com,new,2023-06-25,1132.46,0.038
23,user23@example.com,new,2023-11-10,3744.38,0.053
24,user24@example.com,casual,2024-05-21,3588.08,0.022
25,user25@example.com,new,2023-01-20,3805.92,0.055
26,user26@example.com,casual,2024-10-20,177.33,0.057
27,user27@example.com,casual,2024-04-27,4730.37,0.097
28,user28@example.com,new,2025-01-17,3437.78,0.015
29,user29@example.com,new,2024-03-16,435.29,0.08
30,user30@example.com,casual,2025-06-08,3272.91,0.034
31,user31@example.com,casual,2024-11-18,1824.38,0.153
32,user32@example.com,casual,2023-11-08,2434.25,0.049
33,user33@example.com,casual,2023-12-30,3164.28,0.089
34,user34@example.com,casual,2023-04-24,2108.35,0.058
35,user35@example.com,casual,2024-10-07,3048.15,0.07
36,user36@example.com,loyal,2023-03-05,1188.26,0.086
37,user37@example.com,vip,2023-07-03,4375.01,0.15
38,user38@example.com,new,2023-05-19,1342.52,0.043
39,user39@example.com,casual,2025-04-27,2530.23,0.03
40,user40@example.com,loyal,2023-11-17,752.81,0.087
41,user41@example.com,new,2024-11-22,2086.96,0.056
42,user42@example.com,new,2024-10-12,3004.88,0.01
43,user43@example.com,casual,2023-11-20,228.55,0.086
44,user44@example.com,casual,2024-10-21,3829.31,0.017
45,user45@example.com,loyal,2025-01-28,3450.1,0.155
46,user46@example.com,loyal,2023-08-20,4753.13,0.066
47,user47@example.com,casual,2023-09-07,2380.11,0.048
48,user48@example.com,vip,2024-10-08,4655.25,0.119
49,user49@example.com,new,2023-04-02,1620.19,0.056
50,user50@example.com,new,2023-06-13,3550.07,0.085
51,user51@example.com,loyal,2024-05-17,2113.54,0.216
52,user52@example.com,casual,2023-10-15,4110.34,0.272
53,user53@example.com,casual,2025-04-04,555.38,0.077
54,user54@example.com,casual,2025-04-14,1902.05,0.095
55,user55@example.com,casual,2024-03-25,4326.58,0.035
56,user56@example.com,casual,2024-03-09,445.73,0.065
57,user57@example.com,loyal,2024-07-01,250.93,0.143
58,user58@example.com,casual,2023-12-23,1190.65,0.119
59,user59@example.com,loyal,2024-04-05,3230.54,0.089
60,user60@example.com,loyal,2024-10-26,1326.14,0.124
61,user61@example.com,new,2024-09-23,1762.2,0.044
